,0,1,2
217,25.39417,26.166096,35.798332
218,26.15371,24.990297,35.979763
219,26.02601,24.938786,35.065697
220,25.295708,25.336771,36.261322
221,24.00185,27.071014,37.29933
222,25.045975,23.702103,35.181156
223,26.993322,25.959446,36.456966
224,27.035406,23.22242,33.938873
225,27.062931,23.609924,34.214413
226,25.954958,22.380054,34.201202
227,25.46882,24.20611,34.969414
228,27.409084,23.468042,34.62803
229,27.834503,23.837479,35.281994
230,27.32521,25.5763,36.08661
231,26.967812,26.898497,37.78382
232,26.399124,23.89472,35.01121
233,26.793928,25.77246,35.907455
234,26.458714,23.700092,35.08071
235,27.820541,26.840954,37.572304
236,28.280874,24.01088,35.600765
237,28.239288,25.341463,36.968594
238,26.410398,26.04132,37.10283
239,26.181587,29.507782,40.74186
240,27.099918,27.23262,37.994736
241,28.485458,25.537737,37.064545
242,27.355286,26.648087,37.652626
243,28.64614,28.10236,39.12899
244,27.896755,26.891096,37.79512
245,28.713493,26.356512,38.347702
246,28.960587,25.63528,37.497032
247,6.674967,12.915317,10.507164
248,8.452058,17.045258,13.82549
249,8.229777,16.660786,13.824725
250,8.813886,16.454052,13.200517
251,8.124892,18.082691,15.491853
252,8.717243,18.508827,15.388982
253,8.032274,17.888231,15.075434
254,9.384796,17.506731,14.351647
255,9.406754,16.683777,13.429915
256,9.633955,17.196249,13.822022
257,8.942734,16.022291,13.122905
258,9.395458,16.494411,13.296783
259,10.9229965,19.163877,15.386742
260,9.80392,16.630669,13.178992
261,9.753776,18.916082,15.477858
262,9.929552,17.531118,14.048493
263,10.117666,19.298096,15.76083
264,10.165232,17.157091,13.619433
265,9.544344,19.010021,15.65162
266,9.914591,20.224834,16.816658
267,9.882217,17.108097,13.699708
268,9.881197,16.920782,13.424279
269,9.999124,19.181189,15.680129
270,10.516308,18.328098,14.723342
271,9.748442,18.460655,14.985949
272,9.523443,19.080946,15.671936
273,9.513174,21.180006,17.632114
274,9.764141,17.731316,14.386892
275,10.322364,21.63025,17.834743
276,10.4383,19.77117,16.125364
277,9.275705,20.649496,17.223656
278,10.273525,19.46838,15.962823
279,8.85343,19.010221,15.918241
280,9.646077,21.107548,17.46802
281,9.954261,19.105673,15.594424
282,10.247613,18.63653,15.227261
283,9.76697,19.377941,16.03579
284,8.405647,19.26435,16.303047
285,9.694402,20.043592,16.704805
286,10.8039875,19.795584,15.940503
287,10.623749,19.630901,16.004364
288,10.768827,20.136219,16.411245
289,10.3768635,19.233593,15.696903
290,9.444286,19.798302,16.401915
291,10.637098,19.923426,16.191395
292,10.464355,19.364971,15.694199
293,10.604948,19.610374,15.864762
294,10.618853,19.704262,16.042393
295,10.727961,19.659714,16.048204
296,10.479918,23.220058,19.31771
297,10.340093,17.884943,14.264354
298,8.91847,19.245464,16.614119
299,10.640449,19.386383,15.842162
300,10.281599,18.348213,14.688169
301,9.914206,19.91598,16.465603
302,10.228584,21.004627,17.387352
303,10.352062,19.339106,15.720225
304,9.875538,17.597868,14.227746
305,12.6887455,28.224026,25.345503
306,9.961529,22.56453,19.342175
307,40.194035,28.493778,30.512981
308,42.086857,29.904018,31.950958
309,44.7458,31.507715,33.985203
310,42.265312,30.00499,32.21768
311,44.488026,31.513845,33.878166
312,40.292564,28.730001,30.806078
313,44.324886,31.366041,33.79257
314,40.797558,28.91771,31.760593
315,41.960583,29.595991,31.829556
316,41.657696,30.16029,31.851608
317,41.21665,29.213322,31.318094
318,40.32778,28.752464,30.766167
319,41.616886,29.63379,31.79183
320,45.057568,31.886858,34.46921
321,47.096508,33.0599,35.857433
322,41.058914,29.34195,31.471775
323,41.4725,29.258896,31.385237
324,40.736965,29.041489,31.405418
325,41.783356,29.560865,31.851778
326,46.221348,32.437805,35.34715
327,45.28574,32.07212,34.67971
328,42.024357,29.639492,31.766878
329,47.982628,33.608162,36.75149
330,43.469925,30.900457,33.383156
331,42.94507,30.755913,32.80778
332,41.917706,29.5921,31.896427
333,44.6125,31.801214,34.45406
334,42.126064,29.653387,32.071922
335,45.502216,32.27596,34.99931
336,48.416676,33.544838,37.05388
337,46.874725,32.68459,35.957176
338,48.116917,33.10971,36.42232
339,41.256603,29.383493,31.486784
340,43.69857,30.95106,33.482426
341,46.497433,33.12732,35.883793
342,47.890797,33.348648,36.67851
343,43.455822,30.874092,33.436913
344,48.381546,33.615334,36.88774
345,45.685528,32.638203,35.163803
346,47.039093,32.95132,36.13334
347,48.106487,33.94325,37.094418
348,45.792522,32.78809,35.347404
349,49.223965,34.455025,37.686714
350,48.13386,34.307045,37.238155
351,48.10322,33.305202,36.74017
352,47.06724,33.35134,36.38166
353,48.912457,34.008247,37.455902
354,48.784,34.095436,37.59583
355,47.893093,34.319733,37.447674
356,49.954464,35.98083,39.375786
357,48.689625,33.74208,37.21701
358,48.861835,34.240784,37.327454
359,51.723633,36.93778,40.25173
360,48.646137,34.171715,37.285397
361,52.63487,38.527363,42.48648
362,49.108562,34.846905,38.13443
